[WARN] wandb init failed, continuing without wandb: Run.save() missing 1 required positional argument: 'glob_str'
                                                                                               
Epoch 001 | train_loss=0.5362 train_acc=0.8148 | val_loss=0.4101 val_acc=0.8508
Epoch 002 | train_loss=0.3840 train_acc=0.8621 | val_loss=0.3436 val_acc=0.8759
Epoch 003 | train_loss=0.3469 train_acc=0.8736 | val_loss=0.3433 val_acc=0.8727
Epoch 004 | train_loss=0.3196 train_acc=0.8825 | val_loss=0.3127 val_acc=0.8829
Epoch 005 | train_loss=0.3049 train_acc=0.8868 | val_loss=0.3212 val_acc=0.8836
Epoch 006 | train_loss=0.2889 train_acc=0.8925 | val_loss=0.3208 val_acc=0.8854
Epoch 007 | train_loss=0.2777 train_acc=0.8971 | val_loss=0.3007 val_acc=0.8935
Epoch 008 | train_loss=0.2639 train_acc=0.9018 | val_loss=0.2962 val_acc=0.8899
Epoch 009 | train_loss=0.2534 train_acc=0.9047 | val_loss=0.3002 val_acc=0.8932
Epoch 010 | train_loss=0.2483 train_acc=0.9061 | val_loss=0.2846 val_acc=0.8944
Best val_acc=0.8944 | test_loss=0.3237 test_acc=0.8844
